Category,Sub-Category,Product Name,total_sales,total_profit,total_units,orders,loss_orders,profit_margin_pct,loss_rate_pct
Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,7515.52,1114.37,13.0,5,0.0,14.83,0.0
Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,4778.77,1106.66,12.0,3,0.0,23.16,0.0
Technology,Phones,Samsung Galaxy S4 Mini,6109.87,1104.48,15.0,5,0.0,18.08,0.0
Office Supplies,Paper,Easy-staple paper,2504.19,1096.03,150.0,46,0.0,43.77,0.0
Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.84,1092.68,17.0,3,0.0,42.99,0.0
Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,3234.91,1086.38,23.0,8,1.0,33.58,12.5
Technology,Phones,ClearOne CHATAttach 160 - speaker phone,6695.89,1053.98,13.0,4,1.0,15.74,25.0
Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03,1052.81,21.0,7,2.0,17.83,28.57
Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,4209.8,1052.45,15.0,4,1.0,25.0,25.0
Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,1043.86,17.0,6,1.0,19.59,16.67
Technology,Phones,Samsung Galaxy S4 Active,3999.92,1039.98,8.0,2,0.0,26.0,0.0
Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.74,995.9,29.0,6,0.0,38.02,0.0
Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",5212.11,972.64,27.0,7,2.0,18.66,28.57
Technology,Phones,Bose SoundLink Bluetooth Speaker,2865.6,967.14,18.0,5,0.0,33.75,0.0
Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,956.95,17.0,4,0.0,21.38,0.0
Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,12975.38,951.86,32.0,9,1.0,7.34,11.11
Technology,Phones,Nortel Meridian M3904 Professional Digital phone,4434.91,936.26,32.0,10,0.0,21.11,0.0
Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,7979.44,926.19,33.0,9,4.0,11.61,44.44
Technology,Phones,Cisco SPA301,4180.53,904.74,30.0,9,1.0,21.64,11.11
Technology,Phones,Polycom VVX 310 VoIP phone,6227.65,899.95,40.0,8,1.0,14.45,12.5
Technology,Phones,Polycom CX600 IP Phone VoIP phone,4619.23,896.85,17.0,4,1.0,19.42,25.0
Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,2339.77,889.91,25.0,9,0.0,38.03,0.0
Technology,Accessories,Imation Bio 2GB USB Flash Drive Imation Corp,2098.88,881.53,16.0,3,0.0,42.0,0.0
Technology,Machines,Okidata MB760 Printer,7834.4,881.37,7.0,2,0.0,11.25,0.0
Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,2022.27,872.1,14.0,3,0.0,43.13,0.0
Furniture,Chairs,Safco Contoured Stacking Chairs,5697.76,870.16,27.0,8,0.0,15.27,0.0
Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",6410.87,854.78,26.0,8,2.0,13.33,25.0
Office Supplies,Paper,Multicolor Computer Printout Paper,1887.3,851.38,19.0,5,0.0,45.11,0.0
Technology,Copiers,Hewlett Packard 310 Color Digital Copier,4199.86,839.97,16.0,6,0.0,20.0,0.0
Technology,Phones,GE 30524EE4,5291.73,838.84,32.0,9,1.0,15.85,11.11
Furniture,Chairs,Hon Olson Stacker Stools,5294.46,833.6,44.0,10,1.0,15.74,10.0
Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.37,832.99,24.0,6,1.0,10.99,16.67
Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,6584.64,814.42,36.0,6,2.0,12.37,33.33
Office Supplies,Paper,Xerox 1908,1712.99,799.39,32.0,7,0.0,46.67,0.0
Furniture,Chairs,Global Ergonomic Managers Chair,6008.54,785.45,39.0,11,3.0,13.07,27.27
Technology,Phones,Mitel MiVoice 5330e IP Phone,7699.72,780.97,34.0,9,2.0,10.14,22.22
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71,780.33,35.0,8,3.0,10.35,37.5
Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,9070.94,773.26,31.0,8,2.0,8.52,25.0
Technology,Accessories,Logitech Wireless Gaming Headset G930,2879.82,763.15,21.0,6,0.0,26.5,0.0
Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,19024.5,760.98,48.0,9,6.0,4.0,66.67
Office Supplies,Paper,Xerox 1945,1696.99,756.27,45.0,8,0.0,44.57,0.0
Technology,Accessories,Plantronics S12 Corded Telephone Headset System,2242.03,754.53,23.0,6,0.0,33.65,0.0
Office Supplies,Envelopes,Staple envelope,1686.81,751.63,170.0,48,0.0,44.56,0.0
Furniture,Chairs,Global Executive Mid-Back Manager's Chair,4626.58,750.73,18.0,6,1.0,16.23,16.67
Office Supplies,Paper,Xerox 189,1782.45,746.53,19.0,6,0.0,41.88,0.0
Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.39,733.28,24.0,7,1.0,18.13,14.29
Office Supplies,Paper,Xerox 1919,1565.82,729.62,40.0,9,0.0,46.6,0.0
Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,4389.25,729.06,36.0,8,1.0,16.61,12.5
Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.84,723.15,18.0,5,0.0,27.56,0.0
Technology,Accessories,Enermax Aurora Lite Keyboard,1641.15,722.11,21.0,5,0.0,44.0,0.0
Technology,Accessories,Logitech Wireless Headset h800,2799.72,719.93,32.0,6,0.0,25.71,0.0
Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,5009.48,715.64,16.0,6,1.0,14.29,16.67
Technology,Phones,Google Nexus 5,3815.79,710.96,23.0,5,1.0,18.63,20.0
Office Supplies,Paper,Xerox 1941,1740.51,704.59,19.0,5,0.0,40.48,0.0
Furniture,Chairs,Global Leather Executive Chair,5861.53,701.98,21.0,7,0.0,11.98,0.0
Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,2157.83,699.35,17.0,6,0.0,32.41,0.0
Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,3051.3,697.44,9.0,3,0.0,22.86,0.0
Furniture,Chairs,Global Comet Stacking Arm Chair,6084.14,697.14,17.0,5,2.0,11.46,40.0
Office Supplies,Storage,Economy Rollaway Files,3138.8,693.84,20.0,7,0.0,22.11,0.0
Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,4181.75,693.56,38.0,9,3.0,16.59,33.33
Technology,Accessories,Logitech Gaming G510s - Keyboard,2362.72,676.52,31.0,8,0.0,28.63,0.0
Technology,Phones,Jabra SPEAK 410,3158.06,654.17,37.0,9,0.0,20.71,0.0
Technology,Machines,Cisco SPA525G2 5-Line IP Phone,1379.92,648.56,8.0,1,0.0,47.0,0.0
Technology,Accessories,Microsoft Sculpt Comfort Mouse,1574.03,634.41,42.0,10,0.0,40.3,0.0
Office Supplies,Envelopes,Cameo Buff Policy Envelopes,1555.75,632.26,28.0,8,0.0,40.64,0.0
Technology,Accessories,Enermax Acrylux Wireless Keyboard,2450.16,630.47,29.0,6,0.0,25.73,0.0
Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8,627.17,33.0,4,1.0,21.9,25.0
Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890.0,622.8,22.0,7,0.0,32.95,0.0
Office Supplies,Paper,Xerox 1893,1434.65,619.36,39.0,11,0.0,43.17,0.0
Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.12,608.04,14.0,5,2.0,16.26,40.0
Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,593.96,12.0,4,0.0,30.0,0.0
Technology,Phones,Xiaomi Mi3,2279.96,592.79,4.0,1,0.0,26.0,0.0
Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,1913.13,587.13,18.0,4,0.0,30.69,0.0
Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,578.68,14.0,6,0.0,21.38,0.0
Technology,Phones,Pyle PMP37LED,3590.03,576.9,43.0,10,0.0,16.07,0.0
Technology,Phones,Aastra 57i VoIP phone,3684.71,575.33,26.0,7,1.0,15.61,14.29
Office Supplies,Paper,Xerox 1917,1222.75,574.69,25.0,5,0.0,47.0,0.0
Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",3955.68,573.72,32.0,9,0.0,14.5,0.0
Technology,Phones,Digium D40 VoIP phone,3044.16,571.43,27.0,9,1.0,18.77,11.11
Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,1266.72,570.02,14.0,5,0.0,45.0,0.0
Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.84,16.0,4,0.0,26.0,0.0
Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,2264.89,569.42,50.0,10,4.0,25.14,40.0
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,566.47,31.0,7,1.0,11.59,14.29
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28,563.82,21.0,5,1.0,22.63,20.0
Office Supplies,Binders,GBC ProClick Punch Binding System,1573.91,562.38,31.0,7,2.0,35.73,28.57
Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,1360.48,559.31,18.0,4,0.0,41.11,0.0
Technology,Accessories,Logitech Wireless Marathon Mouse M705,1409.72,554.89,30.0,8,0.0,39.36,0.0
Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,1761.76,549.76,23.0,6,0.0,31.21,0.0
Technology,Phones,BlackBerry Q10,3099.35,548.06,27.0,6,0.0,17.68,0.0
Office Supplies,Paper,White Computer Printout Paper by Universal,1279.08,547.68,37.0,8,0.0,42.82,0.0
Office Supplies,Paper,Xerox 1891,1320.57,542.9,30.0,7,0.0,41.11,0.0
Furniture,Tables,Hon Non-Folding Utility Tables,3775.65,541.65,29.0,5,0.0,14.35,0.0
Technology,Accessories,Logitech G600 MMO Gaming Mouse,1615.8,540.73,21.0,8,0.0,33.47,0.0
Technology,Phones,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15,540.02,19.0,6,0.0,21.76,0.0
Office Supplies,Paper,Xerox 1888,1231.66,539.27,24.0,6,0.0,43.78,0.0
Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,536.9,19.0,4,0.0,15.18,0.0
Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1409.53,536.22,52.0,15,0.0,38.04,0.0
Office Supplies,Paper,Xerox 1934,1097.21,526.21,20.0,5,0.0,47.96,0.0
Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1233.41,524.51,43.0,11,0.0,42.52,0.0
Technology,Phones,Polycom SoundStation2 EX Conference phone,3968.51,518.34,12.0,4,1.0,13.06,25.0
Technology,Accessories,Logitech Illuminated - Keyboard,1139.81,515.91,20.0,6,0.0,45.26,0.0
Technology,Phones,Wilson Electronics DB Pro Signal Booster,8878.4,515.52,32.0,10,2.0,5.81,20.0
Technology,Accessories,Logitech G602 Wireless Gaming Mouse,1999.75,515.14,29.0,9,0.0,25.76,0.0
Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,1619.68,514.9,34.0,9,0.0,31.79,0.0
Office Supplies,Envelopes,Airmail Envelopes,1359.67,514.49,19.0,6,0.0,37.84,0.0
Furniture,Chairs,Global Comet Stacking Armless Chair,3528.79,514.37,14.0,6,0.0,14.58,0.0
Technology,Phones,Apple iPhone 5S,4901.91,512.99,11.0,4,1.0,10.47,25.0
Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,4829.25,509.97,26.0,7,1.0,10.56,14.29
Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.36,509.71,14.0,3,1.0,8.81,33.33
Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,2508.67,505.65,14.0,4,0.0,20.16,0.0
Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",3150.58,499.85,35.0,9,1.0,15.87,11.11
Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,3998.4,499.8,35.0,8,1.0,12.5,12.5
Furniture,Chairs,Hon Mobius Operator's Chair,2705.78,499.34,23.0,5,0.0,18.45,0.0
Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,1799.82,497.95,21.0,7,0.0,27.67,0.0
Office Supplies,Paper,Xerox 1906,1098.64,497.58,32.0,7,0.0,45.29,0.0
Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,6785.14,494.42,23.0,8,4.0,7.29,50.0
Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",2959.21,493.7,23.0,6,1.0,16.68,16.67
Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",1098.5,492.66,21.0,10,0.0,44.85,0.0
Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,2954.44,489.64,27.0,8,2.0,16.57,25.0
Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,4619.99,486.16,37.0,11,3.0,10.52,27.27
Office Supplies,Storage,"Fellowes Mobile File Cart, Black",2300.66,485.0,40.0,10,0.0,21.08,0.0
Technology,Phones,Aastra 6757i CT Wireless VoIP phone,2929.98,482.59,16.0,6,1.0,16.47,16.67
Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,2159.73,479.94,30.0,8,0.0,22.22,0.0
Technology,Phones,VTech DS6151,2746.58,478.76,25.0,8,0.0,17.43,0.0
Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,2221.56,476.63,24.0,4,0.0,21.45,0.0
Technology,Phones,AT&T CL83451 4-Handset Telephone,1936.31,473.78,10.0,4,0.0,24.47,0.0
Office Supplies,Storage,Fellowes Super Stor/Drawer Files,4006.44,473.34,27.0,9,3.0,11.81,33.33
Technology,Phones,Motorola L703CM,4211.73,467.97,32.0,6,0.0,11.11,0.0
Technology,Machines,Cisco 9971 IP Video Phone Charcoal,4268.0,466.4,16.0,2,1.0,10.93,50.0
Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,1343.92,463.97,11.0,3,1.0,34.52,33.33
Office Supplies,Paper,Xerox 1885,960.8,461.18,20.0,5,0.0,48.0,0.0
Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,6776.56,461.13,21.0,6,2.0,6.8,33.33
Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,6832.91,460.35,31.0,6,1.0,6.74,16.67
Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",1016.79,453.76,28.0,6,0.0,44.63,0.0
Office Supplies,Binders,GBC Recycled Regency Composition Covers,1291.25,451.94,26.0,6,1.0,35.0,16.67
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",1184.23,448.76,24.0,6,1.0,37.89,16.67
Furniture,Tables,Bevis 36 x 72 Conference Tables,4332.25,448.16,40.0,8,2.0,10.34,25.0
Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1617.95,448.16,44.0,10,0.0,27.7,0.0
Technology,Phones,Samsung Galaxy S4,6134.7,438.19,13.0,5,1.0,7.14,20.0
Technology,Phones,netTALK DUO VoIP Telephone Service,1112.79,430.42,26.0,7,0.0,38.68,0.0
Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.83,430.07,22.0,6,2.0,9.92,33.33
Office Supplies,Storage,Tennsco Double-Tier Lockers,9630.86,429.79,47.0,12,6.0,4.46,50.0
Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1399.8,429.74,21.0,4,0.0,30.7,0.0
Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73,425.76,32.0,7,1.0,10.67,14.29
Technology,Phones,Toshiba IPT2010-SD IP Telephone,3613.74,425.31,31.0,8,0.0,11.77,0.0
Office Supplies,Paper,Xerox 1914,956.3,423.74,19.0,5,0.0,44.31,0.0
Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,2906.63,422.48,21.0,4,0.0,14.53,0.0
Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",939.09,421.98,16.0,5,0.0,44.94,0.0
Office Supplies,Storage,Fellowes High-Stak Drawer Files,3946.66,419.33,26.0,8,0.0,10.62,0.0
Technology,Phones,Vtech CS6719,2630.13,418.52,32.0,7,1.0,15.91,14.29
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,1320.17,417.02,12.0,3,0.0,31.59,0.0
Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",1857.25,414.92,20.0,6,0.0,22.34,0.0
Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.18,413.65,20.0,6,0.0,21.24,0.0
Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,1180.7,413.25,12.0,2,0.0,35.0,0.0
Technology,Phones,LG G3,1803.11,411.58,10.0,4,0.0,22.83,0.0
Technology,Accessories,Maxell 4.7GB DVD-R,1231.69,411.23,49.0,11,0.0,33.39,0.0
Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.76,410.35,15.0,4,0.0,16.49,0.0
Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1926.94,408.74,32.0,5,0.0,21.21,0.0
Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",909.98,408.26,24.0,6,0.0,44.86,0.0
Office Supplies,Paper,Xerox 1988,1102.89,404.29,41.0,9,0.0,36.66,0.0
Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5,401.21,31.0,7,2.0,13.2,28.57
Office Supplies,Paper,Xerox 1909,970.78,400.98,40.0,9,0.0,41.3,0.0
Technology,Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,2659.84,398.98,16.0,4,0.0,15.0,0.0
Technology,Phones,Nortel Networks T7316 E Nt8 B27,1876.52,397.74,29.0,6,0.0,21.2,0.0
Technology,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder,917.9,393.26,11.0,2,0.0,42.84,0.0
Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,388.75,33.0,7,2.0,8.68,28.57
Technology,Phones,Geemarc AmpliPOWER60,3415.04,384.19,46.0,11,1.0,11.25,9.09
Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,3511.01,383.68,24.0,7,1.0,10.93,14.29
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1383.08,381.21,26.0,10,2.0,27.56,20.0
Office Supplies,Paper,Green Bar Computer Printout Paper,857.38,380.87,17.0,5,0.0,44.42,0.0
Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.39,380.58,36.0,7,1.0,15.29,14.29
Technology,Accessories,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,1247.84,377.55,17.0,4,0.0,30.26,0.0
Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,1221.81,376.94,25.0,5,0.0,30.85,0.0
Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1636.86,375.97,29.0,7,1.0,22.97,14.29
Office Supplies,Paper,Xerox 1913,865.49,375.04,17.0,5,0.0,43.33,0.0
Office Supplies,Appliances,Harmony Air Purifier,1946.7,374.22,13.0,5,1.0,19.22,20.0
Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,1073.9,364.72,39.0,10,1.0,33.96,10.0
